名称,大类,中类,经度,纬度,省份,地级市,category
公厕,生活服务,公厕,114.300778,22.273126,香港特别行政区,香港特别行政区,Core_Necessity
东龙岛公众码头,交通设施,轮渡,114.297931,22.255025,香港特别行政区,香港特别行政区,Transit_Link
香港雅迪海上乐园Hong Kong Ocean Paradise,旅游景点,公园,114.300536,22.272482,香港特别行政区,香港特别行政区,Social_Wellness
布袋澳六婶年糕,餐饮美食,小吃快餐,114.30097,22.272743,香港特别行政区,香港特别行政区,Rehabus_Ops
圆禾年糕,餐饮美食,小吃快餐,114.30047,22.272555,香港特别行政区,香港特别行政区,Rehabus_Ops
海下湾海岸生态公园,旅游景点,公园,114.33525,22.469051,香港特别行政区,香港特别行政区,Social_Wellness
公厕,生活服务,公厕,114.36388,22.467515,香港特别行政区,香港特别行政区,Core_Necessity
塔门,交通设施,轮渡,114.362826,22.464655,香港特别行政区,香港特别行政区,Transit_Link
鹿湖峒,旅游景点,公园,114.298421,22.489216,香港特别行政区,香港特别行政区,Social_Wellness
吉澳西澳公厕,生活服务,公厕,114.295842,22.54417,香港特别行政区,香港特别行政区,Core_Necessity
西贡西郊野生态公园,旅游景点,公园,114.346286,22.464346,香港特别行政区,香港特别行政区,Social_Wellness
吉澳码头,交通设施,轮渡,114.297704,22.538991000000003,香港特别行政区,香港特别行政区,Transit_Link
红石门水库,旅游景点,公园,114.296442,22.496584,香港特别行政区,香港特别行政区,Social_Wellness
印洲塘海岸生态公园,旅游景点,公园,114.293763,22.516842,香港特别行政区,香港特别行政区,Social_Wellness
船湾郊野生态公园,旅游景点,公园,114.271492,22.496833,香港特别行政区,香港特别行政区,Social_Wellness
周黑鸭,餐饮美食,小吃快餐,114.267209,22.527145,香港特别行政区,香港特别行政区,Rehabus_Ops
大屿山郊野生态公园,旅游景点,公园,113.895999,22.22504,香港特别行政区,香港特别行政区,Social_Wellness
公厕,生活服务,公厕,113.888435,22.218845,香港特别行政区,香港特别行政区,Core_Necessity
